ProducID,Color,Image
OCTruDefDuration,Shasta White,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDuration-ShastaWhite-620x388.jpg
OCTruDefDuration,Sierra Grey,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDuration-SierraGrey-620x388.jpg
OCTruDefDuration,Teak,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDuration-Teak-620x388.jpg
OCTruDefDuration,Terra Cotta,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDuration-Terracotta-620x388.jpg
OCTruDefDurationDesigner,Aged Copper,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDurationDesigner-AgedCopper-620x388.jpg
OCTruDefDurationDesigner,Merlot,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDurationDesigner-Merlot-620x388.jpg
OCTruDefDurationDesigner,Pacific Wave,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDurationDesigner-PacificWave-620x388.jpg
OCTruDefDurationDesigner,Sand Dune,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDurationDesigner-SandDune-620x388.jpg
OCTruDefDurationDesigner,Sedona Canyon,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDurationDesigner-SedonaCanyon-620x388.jpg
OCTruDefDurationDesigner,Storm Cloud,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDurationDesigner-StormCloud-620x388.jpg
OCTruDefDurationDesigner,Summer Harvest,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-TruDefDurationDesigner-SummerHarvest-620x388.jpg
OCDurationPremiumCool,Frosted Oak,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Duration-PremiumCool-FrostedOak-620x388.jpg
OCDurationPremiumCool,Harbor Fog,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Duration-PremiumCool-HarborFog-620x388.jpg
OCDurationPremiumCool,Sage,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Duration-PremiumCool-Sage-620x388.jpg
OCDurationPremiumCool,Sunrise,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Duration-PremiumCool-Sunrise-620x388.jpg
OCBerkshire,Canterbury Black,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Berkshire-CanterburyBlack-620x388.jpg
OCBerkshire,Colonial,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Berkshire-Colonial-620x388.jpg
OCBerkshire,Concord,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Berkshire-Concord-620x388.jpg
OCBerkshire,Manchester Gray,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Berkshire-ManchesterGray-620x388.jpg
OCBerkshire,Sherwood Beige,http://www.owenscorning.com/NetworkShare/Roofing/Images/ForOC-Carousel-Berkshire-SherwoodBeige-620x388.jpg
